rule_id,rule_name,severity,transaction_id,account_id,timestamp,reason
STRUCTURING_001,structuring_threshold,high,TXN-EB684B76B2,ACCT-1004,2026-06-08 05:51:48,"7 sub-threshold cash transactions totaling $25,650.73 within 24h (each <= $9,000.00), exceeding aggregate threshold of $10,000.00."
STRUCTURING_001,structuring_threshold,high,TXN-4D9C440569,ACCT-1004,2026-06-08 09:00:00,"7 sub-threshold cash transactions totaling $25,650.73 within 24h (each <= $9,000.00), exceeding aggregate threshold of $10,000.00."
STRUCTURING_001,structuring_threshold,high,TXN-34148B1FA9,ACCT-1004,2026-06-08 11:35:17,"7 sub-threshold cash transactions totaling $25,650.73 within 24h (each <= $9,000.00), exceeding aggregate threshold of $10,000.00."
STRUCTURING_001,structuring_threshold,high,TXN-D762762661,ACCT-1004,2026-06-08 12:00:00,"7 sub-threshold cash transactions totaling $25,650.73 within 24h (each <= $9,000.00), exceeding aggregate threshold of $10,000.00."
STRUCTURING_001,structuring_threshold,high,TXN-7F8E2C3487,ACCT-1004,2026-06-08 15:00:00,"7 sub-threshold cash transactions totaling $25,650.73 within 24h (each <= $9,000.00), exceeding aggregate threshold of $10,000.00."
STRUCTURING_001,structuring_threshold,high,TXN-518F0F224D,ACCT-1004,2026-06-08 15:00:00,"7 sub-threshold cash transactions totaling $25,650.73 within 24h (each <= $9,000.00), exceeding aggregate threshold of $10,000.00."
STRUCTURING_001,structuring_threshold,high,TXN-169FB5966E,ACCT-1004,2026-06-08 23:18:17,"7 sub-threshold cash transactions totaling $25,650.73 within 24h (each <= $9,000.00), exceeding aggregate threshold of $10,000.00."
STRUCTURING_001,structuring_threshold,high,TXN-C1175E2EA1,ACCT-1011,2026-06-08 20:19:48,"5 sub-threshold cash transactions totaling $21,741.86 within 24h (each <= $9,000.00), exceeding aggregate threshold of $10,000.00."
STRUCTURING_001,structuring_threshold,high,TXN-48BB020431,ACCT-1011,2026-06-09 09:00:00,"5 sub-threshold cash transactions totaling $21,741.86 within 24h (each <= $9,000.00), exceeding aggregate threshold of $10,000.00."
STRUCTURING_001,structuring_threshold,high,TXN-A5860C5743,ACCT-1011,2026-06-09 13:00:00,"5 sub-threshold cash transactions totaling $21,741.86 within 24h (each <= $9,000.00), exceeding aggregate threshold of $10,000.00."
STRUCTURING_001,structuring_threshold,high,TXN-705ACD5605,ACCT-1011,2026-06-09 15:37:27,"5 sub-threshold cash transactions totaling $21,741.86 within 24h (each <= $9,000.00), exceeding aggregate threshold of $10,000.00."
STRUCTURING_001,structuring_threshold,high,TXN-41840054D7,ACCT-1011,2026-06-09 20:00:00,"5 sub-threshold cash transactions totaling $21,741.86 within 24h (each <= $9,000.00), exceeding aggregate threshold of $10,000.00."
